pbp_a_hnumber	pbp_a_plan_identifier	segment_id	pbp_a_ben_cov	pbp_a_plan_type	orgtype	bid_id	version	part_d_model_demo	part_d_enhncd_cvrg_demo	mrx_form_model_type	mrx_drug_ben_yn	mrx_benefit_type	mrx_partd_network_loc	mrx_ltc_attest_flag	mrx_first_fill	mrx_otc_meds_pay_ump_yn	mrx_otc_meds_attest_flag	mrx_formulary_tiers_num	mrx_tier_form_ex	mrx_tier_form_ex_2_yn	mrx_tier_form_ex_2	mrx_ae_oon_cstshr_struct	mrx_ae_cstshr_apply	mrx_form_model_desc	mrx_ae_ooptcs_apply	mrx_alt_ded_charge	mrx_alt_ded_amount	mrx_alt_ded_type_yn	mrx_alt_no_ded_tier	mrx_alt_ded_tier_cstshr_yn	mrx_alt_gen_cstshr_struct	mrx_alt_gen_coins_pct	mrx_alt_gen_copay_amt	mrx_alt_oon_cstshr_struct	mrx_alt_red_cost_sharing	mrx_alt_red_cost_sharing_items	mrx_alt_fulfill_desc	mrx_alt_excl_drugs_yn	mrx_alt_pre_icl_cost_share	mrx_alt_pre_icl_exclud_only_yn	mrx_alt_ira_covg_tier	mrx_alt_cstshr_post_oopt	mrx_gen_loc_rstd	mrx_gen_rstd_1m	mrx_gen_rstd_2m	mrx_gen_rstd_3m	mrx_gen_loc_oon	mrx_gen_oon_1m	mrx_gen_oon_os	mrx_gen_loc_mostd	mrx_gen_mostd_1m	mrx_gen_mostd_2m	mrx_gen_mostd_3m	mrx_gen_loc_ltc	mrx_gen_ltc_1m	mrx_tier_extd_days_gen_yn	mrx_gen_extd_first_fill	mrx_gen_ira_rstd_copay_1m	mrx_gen_ira_rstd_copay_2m	mrx_gen_ira_rstd_copay_3m	mrx_gen_ira_mostd_copay_1m	mrx_gen_ira_mostd_copay_2m	mrx_gen_ira_mostd_copay_3m	mrx_gen_ira_oonp_copay_1m	mrx_gen_ira_oonp_copay_othnum	mrx_gen_ira_ltcp_copay_1m	mrx_gen_ira_rstd_coins_1m	mrx_gen_ira_rstd_coins_2m	mrx_gen_ira_rstd_coins_3m	mrx_gen_ira_mostd_coins_1m	mrx_gen_ira_mostd_coins_2m	mrx_gen_ira_mostd_coins_3m	mrx_gen_ira_oonp_coins_1m	mrx_gen_ira_oonp_coins_othnum	mrx_gen_ira_ltcp_coins_1m	mrx_avg_exp_cost_share_attest	mrx_snp_zerocost_attest	mrx_vaccine_attest	mrx_insulin_attest
H0028	039	0	1	01	01	H0028_039_0	5			5F4	1	4	110101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		1	615.00	2	0111001	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111111	1																																		1		1	1
H0028	041	0	1	01	01	H0028_041_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	042	0	1	01	01	H0028_042_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		2	340.00	2	0110000	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	043	1	1	01	01	H0028_043_1	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	043	2	1	01	01	H0028_043_2	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	046	0	1	01	01	H0028_046_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	051	0	1	01	01	H0028_051_0	4			5F4	1	4	110101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		1	615.00	2	0111001	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111111	1																																		1		1	1
H0028	053	1	1	01	01	H0028_053_1	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0110000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	053	3	1	01	01	H0028_053_3	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0110000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	054	1	1	02	01	H0028_054_1	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		2	400.00	2	0110000	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	054	2	1	02	01	H0028_054_2	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		2	400.00	2	0110000	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	055	0	1	02	01	H0028_055_0	5			5F4	1	4	110101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		1	615.00	2	0111001	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111111	1																																		1		1	1
H0028	056	0	1	02	01	H0028_056_0	5			5F4	1	4	110101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		1	615.00	2	0111001	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111111	1																																		1		1	1
H0028	059	0	1	01	01	H0028_059_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	060	0	1	01	01	H0028_060_0	5			5F4	1	4	110101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		1	615.00	2	0111001	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111111	1																																		1		1	1
H0028	062	0	1	01	01	H0028_062_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	063	0	1	01	01	H0028_063_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		2	400.00	2	0110000	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	065	0	1	01	01	H0028_065_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	066	0	1	02	01	H0028_066_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	067	0	1	02	01	H0028_067_0	4			5F4	1	4	110101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		1	615.00	2	0110001	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111111	1																																		1		1	1
H0028	070	0	1	01	01	H0028_070_0	2			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	072	0	1	01	01	H0028_072_0	2			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	2	3		0111110	1																																		1		1	1
H0028	074	1	1	01	01	H0028_074_1	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		3								2	1	110	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	074	2	1	01	01	H0028_074_2	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		3								2	1	110	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	076	0	1	01	01	H0028_076_0	4			5F4	1	4	110101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		2	140.00	2	0110001	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111111	1																																		1		1	1
H0028	077	0	1	01	01	H0028_077_0	4			5F4	1	4	110101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		2	305.00	2	0110001	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111111	1																																		1		1	1
H0028	078	0	1	01	01	H0028_078_0	5		N	5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		2	340.00	2	0110000	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1	1	1	1
H0028	079	0	1	01	01	H0028_079_0	4		N	5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		2	360.00	2	0110000	1				2	1	111	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1	1	1	1
H0028	080	0	1	01	01	H0028_080_0	4		N	5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0110000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1	1	1	1
H0028	081	1	1	01	01	H0028_081_1	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		3								2	1	110	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	081	2	1	01	01	H0028_081_2	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		3								2	1	110	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	082	0	1	01	01	H0028_082_0	3			5F	1	4	110101	1	2	2		5	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier		1	615.00	2	0111000	1				2	1	101	The enhanced benefits satisfy all the BPT requirements around actuarial value. Benefit enhancements are achieved through a combination of enhancements relative to defined standard which could include: reduced Initial Coverage Phase cost sharing, reduced deductible, deductible tier exclusions, and/or reduced insulin cost sharing.	1	3		0111110	1																																		1		1	1
H0028	801	0	1	01	01	H0028_801_0	4				1																																																																				
H0028	802	0	1	01	01	H0028_802_0	3	N	N		2																																																																				
H0028	804	0	1	01	01	H0028_804_0	3				1																																																																				
H0028	805	0	1	01	01	H0028_805_0	3	N	N		2																																																																				
H0029	007	0	1	02	01	H0029_007_0	8		N	5F4	1	3	101101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		1	615.00	2	0100001	1				2					3		0001100	1																																		1	1	1	1
H0029	008	0	1	02	01	H0029_008_0	8		N	5F4	1	3	101101	1	2	2		6	4	2				Preferred Generic, Generic, Preferred Brand, Non-Preferred Drug, Specialty Tier, Select Care Drugs		1	615.00	2	0000001	1				2					3		0001100	1																																		1	1	1	1
